names	scores	logfoldchanges	pvals	pvals_adj
Eif1	4.958676	0.30851528	7.097528149390435e-07	3.295847856554573e-05
H1f0	4.955072	1.9274577	7.23035561267196e-07	3.3503233636142836e-05
Smc4	4.953705	1.8274164	7.281362297882981e-07	3.366733535293088e-05
Cct7	4.953208	0.874173	7.299995993791393e-07	3.368137040468751e-05
Eif1ax	4.934691	0.92470205	8.027780823651062e-07	3.692866884050459e-05
Smdt1	4.931211	0.9683081	8.172132864680241e-07	3.746515179342685e-05
Hmgn1	4.92972	0.8601559	8.234760414986229e-07	3.7672284245931705e-05
Eif3c	4.925743	0.8049099	8.404035321978288e-07	3.836539845824042e-05
Lman2	4.918535	1.2616755	8.719424725696026e-07	3.955431472730132e-05
Dazap2	4.9164224	0.9339604	8.814006064441232e-07	3.98919341774088e-05
Nono	4.9160495	2.1288755	8.830799118603903e-07	3.98919341774088e-05
Tm4sf1	4.899024	1.8525251	9.631383707127225e-07	4.3417634318997536e-05
Lamtor2	4.897533	1.2238296	9.704744129220752e-07	4.365719582963827e-05
Gm9794	4.884484	1.5480312	1.0370007563320646e-06	4.645634301136571e-05
Atp6v1g1	4.874418	0.9605739	1.0912984453375534e-06	4.86867920044913e-05
Mrpl21	4.8694468	1.7453542	1.1191112768300424e-06	4.982468000121877e-05
1810058I24Rik	4.868701	1.267837	1.1233415900308218e-06	4.991011307311838e-05
Mrpl34	4.857268	2.345713	1.190165396936421e-06	5.266237995091832e-05
Hnrnpa3	4.843225	0.9168909	1.2774858384540685e-06	5.6180757046311e-05
Anp32a	4.835147	1.6704125	1.3304727296290684e-06	5.8392068396098524e-05
Aplp2	4.8327856	0.889693	1.3463562981389248e-06	5.89693134801497e-05
Mrpl54	4.8320403	1.504213	1.3514099392019452e-06	5.9070839710906076e-05
Tmem234	4.831046	1.1910167	1.3581765131947424e-06	5.9246677675583985e-05
Psma1	4.8253293	1.0200868	1.397721162630851e-06	6.0848776340096705e-05
Serbp1	4.82185	0.5105807	1.4223314502818325e-06	6.179557948880404e-05
Lsm5	4.805073	2.7280586	1.5469537269925871e-06	6.694062490370928e-05
